Jugador;Equipo;Fecha_Numero;Fecha;Oponente;Goles;Tiros_Totales;Tiros_Puerta
Leonardo_Castro;Millonarios;2;1/02/2025;Deportivo Pasto;1;2;1
Leonardo_Castro;Millonarios;3;8/02/2025;La Equidad;1;3;2
Leonardo_Castro;Millonarios;4;11/02/2025;Llaneros;0;1;0
Leonardo_Castro;Millonarios;5;15/02/2025;Independiente Medellín;0;1;0
Leonardo_Castro;Millonarios;7;2/03/2025;Deportes Tolima;0;0;0
Leonardo_Castro;Millonarios;8;9/03/2025;Junior;1;1;1
Leonardo_Castro;Millonarios;9;16/03/2025;Rionegro;0;1;0
Leonardo_Castro;Millonarios;10;22/03/2025;Independiente Santa Fe;2;3;2
Leonardo_Castro;Millonarios;17;26/03/2025;Independiente Santa Fe;0;2;0
Leonardo_Castro;Millonarios;11;30/03/2025;Alianza FC;1;3;2
Dayro_Moreno;Once Caldas;1;25/01/2025;Atlético Nacional;0;0;0
Dayro_Moreno;Once Caldas;2;1/02/2025;Fortaleza CEIF;1;3;1
Dayro_Moreno;Once Caldas;3;9/02/2025;Bucaramanga;1;2;1
Dayro_Moreno;Once Caldas;4;13/02/2025;Junior;0;2;0
Dayro_Moreno;Once Caldas;5;19/02/2025;Pereira;1;2;2
Dayro_Moreno;Once Caldas;6;22/02/2025;Rionegro;0;4;2
Dayro_Moreno;Once Caldas;7;2/03/2025;Alianza FC;0;1;1
Dayro_Moreno;Once Caldas;8;10/03/2025;Deportes Tolima;0;2;1
Dayro_Moreno;Once Caldas;9;15/03/2025;Independiente Santa Fe;0;6;3
Dayro_Moreno;Once Caldas;10;22/03/2025;Pereira;1;5;2
Dayro_Moreno;Once Caldas;16;27/03/2025;Llaneros;0;1;1
Dayro_Moreno;Once Caldas;12;5/04/2025;CD América;2;3;2
Dayro_Moreno;Once Caldas;13;12/04/2025;Boyacá Chicó;0;0;0
Dayro_Moreno;Once Caldas;14;16/04/2025;La Equidad;1;4;2
Dayro_Moreno;Once Caldas;15;19/04/2025;Independiente Medellín;0;0;0
Dayro_Moreno;Once Caldas;11;1/05/2025;Envigado;1;2;1
Hugo_Rodallega;Independiente Santa Fe;1;26/01/2025;Pereira;0;3;0
Hugo_Rodallega;Independiente Santa Fe;2;31/01/2025;Deportes Tolima;0;3;0
Hugo_Rodallega;Independiente Santa Fe;3;7/02/2025;Rionegro;0;3;0
Hugo_Rodallega;Independiente Santa Fe;4;12/02/2025;Atlético Nacional;1;2;1
Hugo_Rodallega;Independiente Santa Fe;7;28/02/2025;Envigado;4;5;4
Hugo_Rodallega;Independiente Santa Fe;8;9/03/2025;Fortaleza CEIF;1;1;1
Hugo_Rodallega;Independiente Santa Fe;9;15/03/2025;Once Caldas;0;2;0
Hugo_Rodallega;Independiente Santa Fe;6;19/03/2025;Bucaramanga;0;9;2
Hugo_Rodallega;Independiente Santa Fe;10;22/03/2025;Millonarios;0;6;3
Hugo_Rodallega;Independiente Santa Fe;17;26/03/2025;Millonarios;0;2;1
Hugo_Rodallega;Independiente Santa Fe;11;30/03/2025;Unión Magdalena;0;5;0
Hugo_Rodallega;Independiente Santa Fe;12;4/04/2025;Deportivo Pasto;1;4;2
Hugo_Rodallega;Independiente Santa Fe;13;10/04/2025;La Equidad;1;4;2
Hugo_Rodallega;Independiente Santa Fe;14;14/04/2025;Independiente Medellín;1;4;1
Hugo_Rodallega;Independiente Santa Fe;16;27/04/2025;Boyacá Chicó;0;1;1
Hugo_Rodallega;Independiente Santa Fe;15;30/04/2025;Llaneros;0;2;2
Carlos_Bacca;Junior;2;1/02/2025;Rionegro;1;1;1
Carlos_Bacca;Junior;3;8/02/2025;Unión Magdalena;0;0;0
Carlos_Bacca;Junior;4;13/02/2025;Once Caldas;0;2;1
Carlos_Bacca;Junior;5;18/02/2025;Boyacá Chicó;0;0;0
Carlos_Bacca;Junior;6;24/02/2025;Envigado;1;3;1
Carlos_Bacca;Junior;7;1/03/2025;Bucaramanga;0;0;0
Carlos_Bacca;Junior;8;9/03/2025;Millonarios;0;3;1
Carlos_Bacca;Junior;9;16/03/2025;Llaneros;0;1;0
Carlos_Bacca;Junior;10;26/03/2025;Unión Magdalena;0;2;0
Carlos_Bacca;Junior;12;6/04/2025;Independiente Medellín;1;2;2
Carlos_Bacca;Junior;13;12/04/2025;Deportivo Pasto;0;0;0
Carlos_Bacca;Junior;14;15/04/2025;Deportes Tolima;0;1;0
Carlos_Bacca;Junior;15;19/04/2025;Alianza FC;0;1;0
Carlos_Bacca;Junior;16;26/04/2025;Pereira;0;0;0
Carlos_Bacca;Junior;17;3/05/2025;CD América;0;2;0
Marco_Perez;Junior;1;26/01/2025;Deportivo Cali;0;0;0
